Num,Name,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
64,Anshun,131242,134254,158368,174256,183934,195100,197500,209400,213600,217900,223600,128700,200200,206800,208600,210000,213038,219016,217802,216421,119387,155007,152432,177183,168513
65,Xifeng,56458,41013,59103,60018,48079,69000,69900,82200,84500,76100,56700,56800,68700,77200,77200,69000,86498,88864,93329,91620,60766,67034,67415,72818,72258
66,Xishui,161865,98059,160958,199063,212655,234100,262300,270100,275700,319300,237500,244200,257500,278500,286100,257900,291257,298661,297670,299270,166019,246402,233600,254071,261045
67,Xingren,91757,89517,104072,114688,121874,127800,136700,144000,149800,159400,162600,144500,164200,168500,175000,179600,183076,185216,187581,166348,113818,152929,158190,170598,170704
68,Xingyi,184326,192374,196231,198390,205052,216100,221700,228000,231900,241500,245500,223400,247400,255100,252100,257600,263195,268501,272113,232600,141357,207744,227457,245236,253225
69,Xiuwen,60570,50445,65861,66024,67600,72300,76800,125600,129300,88900,83600,60300,84900,91200,97700,93100,98183,103219,106378,104336,71442,78685,80620,89891,90170
70,Yanhe,107289,97037,105609,118869,109853,114900,132100,151500,170100,183700,146700,150300,172400,181400,158300,165500,152839,205025,201745,211864,135794,170614,163461,199214,189770
71,Yinjiang,107218,93990,84743,107701,111395,119800,126000,137400,139500,145300,129300,132100,143300,153600,137400,144000,121872,154860,146200,151901,103762,127602,122969,136203,138515
72,Yuqing,107124,98735,99117,117921,200579,130300,137100,123300,126600,164800,164800,169400,177800,185900,190900,191000,200934,201519,199133,193266,95635,149859,143088,166104,181429
73,Yuping,41691,40222,37183,43309,40981,44400,46900,44800,50100,50600,51300,51400,43900,42700,43200,44300,36949,47128,44791,41814,30303,36012,35444,40785,40880
74,Changshun,71637,65678,72556,74272,76332,78300,80700,88100,79000,90700,92800,68400,92100,93700,99100,103700,106867,110906,115594,116024,81556,97524,93700,97475,98288
75,Zhenfeng,54746,46565,58953,66788,71500,76800,85100,98200,102800,107800,103200,92100,111300,113500,115200,118000,118830,121240,123506,112406,76649,103850,92957,117100,118230
76,Zhenning,91094,80819,83488,85916,88165,90500,93600,96800,99300,114000,114400,74100,107600,107600,109600,110400,112121,116467,117060,116480,77015,94700,91406,100583,95182
77,Zhenyuan,60750,52952,54444,63791,63934,66300,70400,76300,78700,80800,81700,72900,85000,88900,86900,89900,92033,94727,99865,99065,61015,76315,74377,80699,82058
78,Zheng'an,169865,112972,178627,190140,208910,220500,236700,157400,165100,295200,247200,262200,280200,294800,257600,208800,266670,251638,251693,240561,160708,212219,201324,224845,230233
79,Zhijin,145615,142950,159187,199789,206875,223300,234900,269300,283200,292400,261800,257600,262500,312200,327700,338700,339881,358500,382661,325813,252543,302248,307830,331762,342630
80,Zhongshan,22004,23312,24048,24599,25473,26200,26400,26600,25400,25500,25600,24500,23000,23000,24300,24300,24803,25483,26080,22756,19482,22571,24222,21171,21237
81,Ziyun,82372,85683,88681,92665,96835,98400,103600,107200,112700,114000,114600,90500,114100,116100,115900,116300,116463,115986,116757,115637,81218,97052,90172,97567,104300
,,,,,,,,,,,,,,,,,,,,,,,,,,
unit:Mt,,,,,,,,,,,,,,,,,,,,,,,,,,
